CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Fraud,RiskScore,BalancePerProduct,AgeRisk,HighValueCustomer,LowCreditRisk,MarketingScore,ComplainFlag,LowSatisfaction,OperationalRiskScore
619,France,Female,42,2,11983969.0,1,1,1,10134888.0,1,1,2,DIAMOND,464,0,1,0.0,0,0,0,0,1,1,2
608,Spain,Female,41,1,8380786.0,1,0,1,11254258.0,0,1,3,DIAMOND,456,0,1,41903.93,0,0,0,1,1,0,1
502,France,Female,42,8,15966079.999999998,3,1,0,11393157.0,1,1,3,DIAMOND,377,0,3,39915.2,0,1,0,1,1,0,2
699,France,Female,39,1,11983969.0,2,0,0,9382663.0,0,0,5,GOLD,350,0,1,0.0,0,0,0,0,0,0,1
850,Spain,Female,43,2,12551082.0,1,1,1,7908410.000000001,0,0,5,GOLD,425,0,1,62755.41,0,1,0,2,0,0,0
645,Spain,Male,44,8,11375578.0,2,1,0,14975671.0,1,1,5,DIAMOND,484,0,3,37918.59333333333,0,1,0,2,1,0,2
822,France,Male,50,7,11983969.0,2,1,1,1006279.9999999999,0,0,2,SILVER,206,0,0,0.0,0,0,0,0,0,1,1
376,Germany,Female,29,4,11504674.0,4,1,0,11934688.0,1,1,2,DIAMOND,282,0,4,23009.348,0,1,1,3,1,1,3
501,France,Male,44,4,14205107.0,2,0,1,7494050.0,0,0,3,GOLD,251,0,1,47350.35666666667,0,1,0,1,0,0,0
684,France,Male,27,2,13460388.0,1,1,1,7172573.0,0,0,3,GOLD,342,0,1,67301.94,0,1,0,1,0,0,0
528,France,Male,31,6,10201672.0,2,0,0,8018112.0,0,0,3,GOLD,264,0,2,34005.573333333334,0,1,0,1,0,0,1
497,Spain,Male,24,3,11983969.0,2,1,0,7639000.999999999,0,0,3,GOLD,249,0,2,0.0,1,0,1,2,0,0,1
476,France,Female,34,10,11983969.0,2,1,0,2626098.0,0,0,3,SILVER,119,0,2,0.0,0,0,1,1,0,0,1
549,France,Female,25,5,11983969.0,2,0,0,19085779.0,0,0,3,PLATINUM,549,0,1,0.0,0,0,0,0,0,0,1
635,Spain,Female,35,7,11983969.0,2,1,1,6595164.999999999,0,0,2,GOLD,318,0,0,0.0,0,0,0,1,0,1,1
616,Germany,Male,45,3,14312941.0,2,0,1,6432726.0,0,0,5,GOLD,308,0,1,47709.80333333334,0,1,0,2,0,0,0
653,Germany,Male,58,1,13260288.0,1,1,0,509767.0,1,0,2,SILVER,163,0,2,66301.44,0,1,0,2,0,1,2
549,Spain,Female,24,9,11983969.0,2,1,1,1440641.0,0,0,3,SILVER,544,0,0,0.0,1,0,0,1,0,0,0
587,Spain,Male,45,6,11983969.0,1,0,0,15868481.0,0,0,3,PLATINUM,732,0,1,0.0,0,0,0,1,0,0,1
726,France,Female,24,6,11983969.0,2,1,1,5472403.0,0,0,4,GOLD,477,0,0,0.0,1,0,0,0,0,0,0
732,France,Male,41,8,11983969.0,2,1,1,17088617.0,0,0,3,PLATINUM,568,0,0,0.0,0,0,0,0,0,0,0
636,Spain,Female,32,8,11983969.0,2,1,0,13855546.0,0,0,2,DIAMOND,336,0,1,0.0,0,0,0,1,0,1,2
510,Spain,Female,38,4,11983969.0,1,1,0,11891353.0,1,1,2,DIAMOND,887,1,2,0.0,0,0,0,1,1,1,3
669,France,Male,46,3,11983969.0,2,0,1,848775.0,0,0,2,SILVER,665,0,0,0.0,0,0,0,0,0,1,1
846,France,Female,38,5,11983969.0,1,1,1,18761616.0,0,0,3,PLATINUM,225,0,0,0.0,0,0,0,0,0,0,0
577,France,Male,25,3,11983969.0,2,0,1,12450829.0,0,0,3,PLATINUM,659,0,0,0.0,0,0,0,0,0,0,0
756,Germany,Male,36,2,13681564.000000002,1,1,1,17004195.0,0,0,5,DIAMOND,236,0,1,68407.82,0,1,0,2,0,0,0
571,France,Male,44,9,11983969.0,2,0,0,3843335.0,0,0,4,PLATINUM,448,0,1,0.0,0,0,0,0,0,0,1
574,Germany,Female,43,3,14134943.0,1,1,1,10018743.0,0,0,5,DIAMOND,499,0,1,70674.715,0,1,0,2,0,0,0
411,France,Male,29,0,5969717.0,2,1,1,5348321.0,0,0,2,GOLD,343,0,1,19899.056666666667,0,0,1,1,0,1,1
591,Spain,Female,39,3,11983969.0,3,1,0,14046938.0,1,1,3,DIAMOND,298,0,2,0.0,0,0,0,1,1,0,2
533,France,Male,36,7,8531170.0,1,0,1,15673191.0,0,0,5,SILVER,628,0,0,42655.85,0,0,0,0,0,0,0
553,Germany,Male,41,9,11011254.0,2,0,0,8189881.0,0,0,3,GOLD,611,0,2,36704.18,0,1,0,2,0,0,1
