Model,Task,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,Fraud,0.943,0.30327868852459017,0.5606060606060606,0.39361702127659576,0.9442355300680016
Logistic Regression,Marketing,1.0,1.0,1.0,1.0,N/A
Logistic Regression,Operational,1.0,1.0,1.0,1.0,N/A
Decision Tree,Fraud,0.938,0.29577464788732394,0.6363636363636364,0.40384615384615385,0.7914786437278681
Decision Tree,Marketing,1.0,1.0,1.0,1.0,N/A
Decision Tree,Operational,1.0,1.0,1.0,1.0,N/A
Random Forest,Fraud,0.9325,0.32663316582914576,0.9848484848484849,0.49056603773584906,0.9601939769985272
Random Forest,Marketing,1.0,1.0,1.0,1.0,N/A
Random Forest,Operational,1.0,1.0,1.0,1.0,N/A
XGBoost,Fraud,0.9435,0.3356643356643357,0.7272727272727273,0.45933014354066987,0.9634295384036853
XGBoost,Marketing,1.0,1.0,1.0,1.0,N/A
XGBoost,Operational,1.0,1.0,1.0,1.0,N/A
KNN,Fraud,0.946,0.3333333333333333,0.6363636363636364,0.4375,0.8649525242079534
KNN,Marketing,0.9305,0.9311258078718756,0.9305,0.9301997317387785,N/A
KNN,Operational,0.9845,0.9846758507433976,0.9845,0.9845223843209042,N/A
