Model,Task,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,Fraud,0.942,0.2916666666666667,0.5303030303030303,0.3763440860215054,0.9362445551690639
Logistic Regression,Marketing,1.0,1.0,1.0,1.0,N/A
Logistic Regression,Operational,1.0,1.0,1.0,1.0,N/A
Decision Tree,Fraud,0.94,0.30434782608695654,0.6363636363636364,0.4117647058823529,0.7921915640374791
Decision Tree,Marketing,1.0,1.0,1.0,1.0,N/A
Decision Tree,Operational,1.0,1.0,1.0,1.0,N/A
Random Forest,Fraud,0.9385,0.3389830508474576,0.9090909090909091,0.49382716049382713,0.9614161261007177
Random Forest,Marketing,1.0,1.0,1.0,1.0,N/A
Random Forest,Operational,1.0,1.0,1.0,1.0,N/A
XGBoost,Fraud,0.936,0.3176470588235294,0.8181818181818182,0.4576271186440678,0.9617138290871486
XGBoost,Marketing,0.9995,0.9995006289308176,0.9995,0.9994968239983218,N/A
XGBoost,Operational,1.0,1.0,1.0,1.0,N/A
KNN,Fraud,0.927,0.2619047619047619,0.6666666666666666,0.37606837606837606,0.8481401397637179
KNN,Marketing,0.9335,0.9341699247792407,0.9335,0.9332896671957428,N/A
KNN,Operational,0.9885,0.9885608997524522,0.9885,0.9885057844823428,N/A
