,Accuracy,Precision,Recall,F1 Score,ROC AUC,Best Threshold
Logistic Regression_Fraud,0.942,0.2916666666666667,0.5303030303030303,0.3763440860215054,0.9362445551690639,0.85
Logistic Regression_Marketing,1.0,1.0,1.0,1.0,,
Logistic Regression_Operational,1.0,1.0,1.0,1.0,,
Decision Tree_Fraud,0.94,0.30434782608695654,0.6363636363636364,0.4117647058823529,0.7921915640374791,0.1
Decision Tree_Marketing,1.0,1.0,1.0,1.0,,
Decision Tree_Operational,1.0,1.0,1.0,1.0,,
Random Forest_Fraud,0.9385,0.3389830508474576,0.9090909090909091,0.49382716049382713,0.9614161261007177,0.35
Random Forest_Marketing,1.0,1.0,1.0,1.0,,
Random Forest_Operational,1.0,1.0,1.0,1.0,,
XGBoost_Fraud,0.936,0.3176470588235294,0.8181818181818182,0.4576271186440678,0.9617138290871486,0.1
XGBoost_Marketing,0.9995,0.9995006289308176,0.9995,0.9994968239983218,,
XGBoost_Operational,1.0,1.0,1.0,1.0,,
KNN_Fraud,0.927,0.2619047619047619,0.6666666666666666,0.37606837606837606,0.8481401397637179,0.45
KNN_Marketing,0.9335,0.9341699247792407,0.9335,0.9332896671957428,,
KNN_Operational,0.9885,0.9885608997524522,0.9885,0.9885057844823428,,
